Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Am Trockenbusch ;Q 7 ;06. Nov 63;Stadtteil Eberstadt, Benennung nach den sandigen, wasserdurchlässigen u. dadurch trockenen Böden 
An der Sanddüne ;Q 7 ;26. Jun 53;Stadtteil Eberstadt, Gewannbezeichnung nach einer hohen Sanddüne 
Büschelstraße ;Q 7 ;29. Aug 53;Stadtteil Eberstadt, Diese Straße war früher der Zugang zu dem sog. Büschel (das im Westen des Dorfes zw. Modau und dem Escholl gelegene Strauchwerk ). 
Gretel-Klein-Platz ;Q 7 ;16. Jan 08;Stadtteil Eberstadt, Benennung nach Gretel Klein geb. Kirschner (1911-2005), Sozialpolitikerin, Stadtverordnete und Stadtälteste, auch bekannt als 'Engel von Eberstadt', Trägerin des Bundesverdienstkreuzes. 
In den Rödern ;Q 7 ;;Stadtteil Eberstadt, Benennung nach einem Flurnamen, 'Röder' erinnert an die Gewinnung neuer Ackerflächen durch Rodung. 
Kurt-Schumacher-Straße ;Q 7 ;26. Feb 64;Stadtteil Eberstadt, benannt nach Dr. Kurt Schumacher (1895-1952), Vorsitzender der SPD (1946-1952). 
Ludwig-Quessel-Weg ;Q 7 ;26. Feb 64;Stadtteil Eberstadt, benannt nach Dr. Ludwig Quessel (1872-1931),Publizist u. Politiker, Reichstagsabgeordneter 1912-1930. 
Odenwaldstraße ;Q 7 ;26. Jun 53;Stadtteil Eberstadt,benannt nach dem Odenwald,einem süddeutschen Mittelgebirge. 
Palisadenstraße ;Q 7 ;;Stadtteil Eberstadt, benannt nach einem Palisadengraben. 
Piazza Gino Faraldi ;Q 7 ;21. Mrz 07;Benannt nach Luigi Gino Faraldi (1942-2006); Darmstädter Gastwirt, ehem. Präsident des italienischen Hotel- u. Gaststättenverbandes in Deutschland, ehem. Vorsitzender der FAIEG (Federazione Associazione Italiane Emigrati in Germania) 
Ringstraße ;Q 7 ;26. Jun 53;Stadtteil Eberstadt,benannt nach ihrer ringartigen Form. 
Röderweg ;Q 7 ;29. Aug 53;Stadtteil Eberstadt,benannt nach dem Flurnamen 'Röder', gerodetem Wald. 
Brambachweg ;Q 7-8 ;05. Dez 58;Stadtteil Eberstadt, benannt nach Otto Brambach (18851949) Angehöriger der illegalen Widerstandsbewegung ('Gruppe der jungen Christen') führende Person im Aufbau des Jugendherbergswerkes. 
Hainweg ;Q 7-8 ;29. Aug 53;Stadtteil Eberstadt, Das ganze Gelände vom Rand des Odenwaldes bis an die Modau und hier bis an den Rand von Eberstadt hieß früher Hain. Man kann somit herleiten, dass der Weg dorthin seinen Namen von diesem Hain hat. 
Im Biengarten ;Q 7-8 ;26. Jun 53;Stadtteil Eberstadt,benennant nach einer Gewannbezeichnung,hier wurden früher Bienenkörbe 
Isselstraße ;Q 7-8 ;24. März 1956 26. August 1970 ;Stadtteil Eberstadt, benannt nach Georg Wilhelm Issel (1785-1870), Darmstädter Maler. 
Hartmuth-Pfeil-Weg ;Q 8;30.01.1963 17.03.1965 ;Stadttteil Eberstadt, Hartmuth Pfeil (1893-1962), Darmstädter Zeichner 
Alkmaarstraße ;Q 8 ;24. Mai 72;Stadtteil Eberstadt, benannt nach Alkmaar, der Niederländischen Schwesterstadt Darmstadts seit 1958 
Brixenweg ;Q 8 ;01. Feb 78;Stadtteil Eberstadt, Benennung nach dem italienischen Winterkurort Brixen in Südtirol 
Bursastraße ;Q 8 ;24. Mai 72;Stadttteil Eberstadt, benannt nach Bursa, der türkischen Schwesterstadt Darmstadts seit1968. 
Chesterfieldstraße ;Q 8 ;24. Mai 72;Stadtteil Eberstadt, benannt nach Chesterfield, englische Schwesterstadt Darmstadts seit 1959 
Franz-Best-Weg ;Q 8 ;26. Aug 70;Stadtteil Eberstadt, benannt nach Franz Best (18871970), Eberstädter Heimatmaler. 
Grazstraße ;Q 8 ;24. Mai 72;Stadtteil Eberstadt, benannt nach Graz, österreichische Schwesterstadt Darmstadts seit 1968. 
Kleukensweg ;Q 8 ;30. Jan 63;Stadtteil Eberstadt,benannt nach Christian Heinrich Kleukens (1880-1954), Darmstädter Drucker u. Schriftkünstler. 
Beerbacher Straße ;Q 9 ;10. Jan 73;Stadtteil Eberstadt,Benennung nach dem Beerbach 
Brunnenweg ;Q-R 6 ;28. Sep 51;Stadtteil Eberstadt, benannt nach einem früheren Brunnen. 
Fritz-Dächert-Weg ;Q-R 6 ;02. Jan 64;Stadtteil Eberstadt,Benennung nach Fritz Dächert (19021963),Eberstädter Kommunalpolitiker 
Max-Ratschow-Weg ;Q-R 7 ;16. Jan 91;Stadtteil Eberstadt,benannt nach Prof. Dr. Max Ratschow (1904-1963), Arzt, Angiologe 
Reinhold-Staudt-Platz ;Q-R 7 ;29. Mai 96;Stadtteil Eberstadt, benannt nach Dr. Reinhold Staudt (1928-1978), Stadtrat, Bundestagsabgeordneter 
Frankensteiner Straße ;Q-R 7-8 ;;Stadtteil Eberstadt. benannt nach der Burg Frankenstein. 
Gernsheimer Straße ;Q-R 7-9 ;24. Jun 87;Stadtteil Eberstadt,Benennung nach der Stadt Gernsheim, westl. von Darmstadt. 
Alter Dieburger Weg ;Q-R 8 ;26. Jun 53;Stadtteil Eberstadt, Dieburger Str. umbenannt in Alter Dieburger Weg, nach der früheren Kreisstadt Dieburg 
Eschelkopfweg ;R 6-7 ;;Stadtteil Eberstadt,Benennung nach dem Eschelkopf, der höchsten Flugsanddüne an der Südwest-Grenze von Eberstadt. 
Grenzallee ;R 6-7 ;;Stadtteil Eberstadt, zieht entlang der Grenze gegen Pfungstadt und heißt dort ebenso 
Adenauerplatz ;R 7 ;10. Jan 73;Stadtteil Eberstadt,benannt nach Dr. Konrad Adenauer (18761967) Deutscher Bundeskanzler von 1949-1963. 
Am Birkenschlag ;R 7 ;28. Sep 51;Stadtteil Eberstadt, benannt nach den dort wachsenden Bäumen. 
August-Metz-Weg ;R 7 ;12. Dez 73;Stadtteil Eberstadt, benannt nach Dr. August Metz (1918-1874), liberaler Politiker u. Rechtsanwalt. 
Bärbel-Six-Platz ;R 7 ;10. Nov 04;Benannt nach Bärbel Ruth Six (1938-2002), ehemalige Rektorin der Wilhelm-Hauff-Schule 
Im Busch ;R 7 ;28. Sep 51;Stadtteil Eberstadt,benannt nach dem dortigen Wald. 
In der Kirchtanne ;R 7 ;;Stadtteil Eberstadt,Benennung nach dem Gemeindewald 'Kirchtanne'. 
Kirnbergerstraße ;R 7 ;06. Jan 65;Stadtteil Eberstadt,benannt nach Ferdinand Kirnberger (1875-1962), Hess. Minister der Finanzen und der Justiz, in Darmstadt gestorben. 
Lotzertweg ;R 7 ;28. Sep 51;Stadtteil Eberstadt, Gewannbezeichnung nach einem Familiennamen. 
Malcher Straße ;R 7 ;24. Mai 72;Stadtteil Eberstadt,benannt nach dem Ort Malchen, am südl. Abhang des Frankensteins. 
Am Fürstenbahnhof ;;20. Sep 00;Benennung nach dem früher dort befindlichen Fürstenbahnhof 
Jeffersonsiedlung ;;01. Feb 57;Benannt nach Thomas Jefferson (1743-1826), dritter Präsident der USA. 
Langener Straße ;;20. Jan 99;Benennung nach der Stadt Langen. 
Modaupromenade ;;;Stadtteil Eberstadt,Parkanlage 
;;;Haas.Entwickelte das Plexiglas. 
Park Rosenhöhe ;;06. Dez 67;Parkanlage 
;;;
Rosenhöhe ;J 9-10 ;;Park im Osten Darmstadts. Er entstand ab 1814 auf Veranlassung der damaligen Prinzessin Wilhelmine 
Rosenhöhweg;H-J 9 ;;Benannt nach dem Park Rosenhöhe im Osten Darmstadts. 
Rosenquarzweg ;J 9-10 ;27. Feb 02;Benannt nach dem Mineral 
Roßdörfer Platz;K 8 ;12. Dez 73;Benannt nach der Gemeinde Roßdorf, östl. von Darmstadt. 
Roßdörfer Straße;K 8-9 ;Benannt 1824 u. 1871 ;Führt in der Fortsetzung nach Roßdorf. 
Rößlerstraße;H-J 7 ;Benennung 1901 ;Benannt nach Hektor Rößler (1779-1863),Darmstädter Münzrat, verdient um das hessische Münzwesen. 
Rubinweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Rudolf-Mueller-Anlage;J 8-9 ;27. Nov 74;Benannt nach Ernst Peter Hermann Rudolf Mueller (18691954), Oberbürgermeister (1929-1933) und Ehrenbürger der Stadt Darmstadt 
Rübezahlweg ;R 8 ;11. Okt 61;Stadtteil Eberstadt, benannt nach der Sagengestalt Rübezahl, dem Berggeist des Riesengebirges im ehem. Schlesien. 
Rückertstraße;K 8 ;Benennung 1869 ;Benannt nach Carl Justus Rückert (1818-1878), Darmstädter Zimmermeister und Bauunternehmer. 
Rüdesheimer Straße;L 7 ;29. Okt 59;Benannt nach der Hessischen Stadt Rüdesheim am Rhein. 
Rüthleinweg;L 8 ;16. Jun 56;Benannt nach Heinrich Rüthlein (1886-1949), bekannter Darmstädter Heimatdichter 
Rundeturmstraße;J 8 ;;Zur Erinnerung an einen der markantesten Türme der inneren Stadtbefestigung, den ehem. 'Runden Turm'. 
Ruthsenbachaue ;E-F 9 ;;Stadtteil Arheilgen, Stadtteil Kranichstein 
Ruthsstraße;H 8 ;Benennung 1873 ;Benannt nach Johann Heinrich Ruths (1805-1880),Ökonom u. Feldgeschworener. 
Saalbaustraße;J-K 7 ;Benennung 1873 ;Nach dem ehem. Saalbau benannt, (zerstört am 11./12. September 1944). 
Sabaisplatz;J 9 ;05. Jul 89;Benannt nach Heinz Winfried Sabais (1922-1981), Darmstädter Oberbürgermeister ab 1970. 
Sachsenstraße ;P 6-7 ;11. Okt 61;Stadtteil Eberstadt, benannt nach dem Bundesland 'Sachsen'. 
Sackgasse;E 8 ;;Stadtteil Arheilgen,benannt nach ihrer Eigenschaft. 
Sängerbuchenweg ;C 8 ;01. Jan 77;Stadtteil Wixhausen, benannt nach der Sängerbuche im Wald nördl. von Wixhausen. 
Sandbergstraße;L 7 ;Benennung 1888 ;Nach den Hügeln im Bessunger Feld genannt. 
Sandstraße;K 7-8 ;;Benannt nach ihrer Bodenbeschaffenheit. 
Sauerweinstraße ;D 8 ;03. Apr 68;Stadtteil Arheilgen, benannt nach Ludwig Sauerwein 
Saphirweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Schachtstraße;J 6 ;Benennung 1918 ;Benannt nach Dr. Theodor Schacht (1786-1870), Direktor der Realschule und der ehem. höheren Gewerbeschule, 
Schaffnitstraße;L 8 ;;Benannt nach Karl Schaffnit (1849-1899) Darmstädter Lehrer u. Mundartdichter. 
Schafnussbaumweg ;P 7 ;26. Jun 53;Stadtteil Eberstadt, benannt nach einem Nußbaum, der einer Familie Schaf gehörte. 
Scharounweg ;F 9 ;01. Feb 78;Stadtteil Kranichstein,benannt nach Hans Bernhardt Scharoun (1893-1972), Architekt 
Scheftheimer Weg;L 10 ;;Benannt nach der Scheftheimer Wiese zu der er führt. 
Schepp Allee;K 6-7 ;;Der Name bezieht sich auf die schiefern Bäume am Straßenrand. 
Schiebelhuthweg;L 7 ;24. Mrz 56;Benannt nach Hans Schiebelhuth (1895-1944), Darmstädter Schriftsteller, ihm wurde 1945 posthum der 
Schilbachweg;H 9 ;;Benannt nach Johann Heinrich Schilbach (1798-1851), Hoftheatermaler in Darmstadt. 
Schillerstraße ;N 7 ;;Stadtteil Eberstadt, benannt nach Johann Christoph Friedrich von Schiller (1759-1805), Dichter u. Philosoph. 
Schlegelstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nachden Brüdern August Wilhelm von Schlegel (1767-1845) und Friedrich von 
Schleiermacherstraße;J 8 ;Benennung 1918 ;Benannt nach dem Geh. Kabinettsrat Ernst Christian Friedrich Adam Schleiermacher (1755-1844) und dessen Söhnen, dem Darmstädter Oberbaurat Ludwig Schleiermacher (1785-1844) und Andreas August 
Schlesierstraße ;P 6 ;05. Dez 58;Stadtteil Eberstadt, benannt nach den Schlesiern. 
Schlosserstraße;J 9 ;Benennung 1918 ;Benannt nach Karl Friedrich Schlosser (1804-1844), Gründer der Schlosserstiftung 
Schloss;J 8 ;;Mitte des 13. Jahrhunderts bauten die Landgrafen von Katzenelnbogen an der Stelle des heutigen Schlosses 
Schlossgarten ;;;Der allgemein 'Herrngarten' genannte Schloßgarten 
Schlossgartenplatz;H 8 ;Benennung 1898 ;Benannt nach dem Schloßgarten, dem heutigen Herrngarten. 
Schlossgartenstraße;H-J 7-8 ;Benennung 1859 ;Benannt nach dem Schloßgarten, dem heutigen Herrngarten. 
Schlossgraben;J 8 ;;Benannt nach dem Graben, der um das Schloß verläuft. 
Schlossstraße ;Q 7-8 ;;Stadtteil Eberstadt, benannt nach dem 'Schloß', der Burg Frankenstein. 
Schmelzerweg ;D 7 ;24. Apr 02;Stadtteil Arheilgen, benannt nach Professor Carl Christoph Schmelzer (1908-2001), Mitbegründer der GSI 
Schmittweg ;E 8 ;21. Jul 76;Stadtteil Arheilgen,benannt nach Johann Schmitt (18151893), Gründer des hessischen Landes-Lehrer-Vereins 
Schnampelweg;K 10 ;24. Mai 72;Benannt nach einer Gewannbezeichnung ohne sicher geklärte Herkunft. 
Schnittspahnstraße;K 10 ;03. Apr 68;Benannt nach Professor Georg Friedrich Schnittspahn 
Schöfferstraße;K 7 ;18. Sep 50;Benannt nach Peter Schöffer (1425-1503), Gehilfe Gutenbergs, erwarb sich um Schnitt und Guss der D k h ift V di 
Schönbergstraße ;C 8 ;01. Feb 78;Stadtteil Wixhausen, benannt nach Arnold Franz Walter 
Schollweg;L 9 ;Benennung 1918 ;Benannt nach Johann Baptist Scholl der Jüngere (1818
Schorlemmerstraße ;E 7-8 ;12. Dez 73;Stadtteil Arheilgen,benannt nach Prof. Dr. Carl 
Schottener Weg;G-H 8 ;03. Mai 67;Benannt nach der Stadt Schotten, nordöstl. von 
Schrautenbachweg;K 6 ;Benennung 1926 ;Benannt nach Oberstleutnant Ludwig Balthasar von 
Schreberweg;F-G 8 ;26. Jun 85;Benannt nach Dr. Daniel Gottlieb Moritz Schreber (1808
Schubertweg;H 9 ;;Benannt nach Franz Schubert (1797-1828), 
Schuchardstraße;J 8 ;Benennung 1877 ;Benannt nach Kommerzienrat Heinrich Schuchard (1813
Schützenstraße;J-K 8 ;Benennung 1824 ;Benannt nach einem festen Schießstand, der sich hier 
Schuknechtstraße;H 8 ;Benennung 1903 ;Benannt nach Johann Martin Schuknecht (1724-1790) 
Schulstraße;J 8 ;;Benannt nach den Schulen, die am Kapellplatz lagen. 
Schulzengasse ;E 8 ;;Stadtteil Arheilgen, benannt nach dem Orts-Schulzen 
Schulzweg;F 10 ;22. Dez 82;Stadtteil Kranichstein, benannt nach Dr. jur. Wilhelm 
Schumannstraße;H 10 ;05. Dez 58;Benannt nach Robert Schumann (1810-1856), Komponist 
Schustergasse;J 8 ;;Benannt nach den Schusterfamilien, die früher hier 
Schwambstraße;K 9 ;;Benannt nach Ludwig Schwamb (1890-1945), Staatsrat, 
Schwanenstraße ;P 7 ;Benennung 1867 ;Stadtteil Eberstadt, benannt nach der ehemaligen 
Schwarzer Weg;H 9 ;06. Jan 65;Benannt nach einer Volksmundbezeichnung, von 
Schwarzwaldring;J 9 ;26. Jun 53;Benannt nach dem Schwarzwald, dem höchsten 
Schwippertweg ;F 9 ;01. Feb 78;Stadtteil Kranichstein, benannt nach Hans Schwippert (1899-1973), Architekt u. a. der Georg-Büchner-Schule. 
Seegartenstraße ;C 7 ;01. Jan 77;Stadtteil Wixhausen, benannt nach der Gewannbezeichnung für ein ehem. Sumpfgebiet. 
Seeheimer Straße ;Q-S 7 ;;Stadtteil Eberstadt,benannt nach einem Ortsteil der Gemeinde Seeheim-Jugenheim a. d. Bergstraße. 
Seekatzstraße;L 8 ;Benennung 1901 ;Benannt nach Johann Conrad Seekatz (1719-1768), landgräflicher Hofmaler in Darmstadt. 
Seewiesenstraße ;E 9 ;26. Jun 53;Stadtteil Arheilgen,die Straße führt zu den Wiesen am Ruthsenbach. 
Seitersweg;J 9 ;;Benannt nach einer Flurbezeichnung, die sich darauf bezieht, dass der Weg seitlich einer Hauptverkehrsstraße verläuft. 
Seiterswiesenschleifweg;H-J 9-10 ;;Benannt nach seiner früheren Nutzungsart als Schleifweg. 
Seiterswiesenweg;J 9-10 ;;Benennung erfolgte, da er zu den Wiesengrundstücken im Oberfeld führt. 
Sensfelderweg;H 7 ;;Benannt nach dem ehem. Sensfelderhof östl. von Weiterstadt. 
Siebenbürgenstraße;M 6 ;22. Jun 66;Benannt nach der Landschaft Siebenbürgen im Nordwesten von Rumänien. 
Sieboldstraße;J 7 ;02. Jul 53;Benannt nach Dr. Regina Josepha von Siebold (17711849), Darmstädter Geburtshelferin, erste deutsche Frauenärztin, ehrenhalber zum Doktor promoviert. 
Siemensstraße ;F-G 9-10 ;24. Mai 72;Stadtteil Kranichstein, benannt nach Werner von Siemens (1816-1892), Erfinder in der Elektrotechnik 
Silcherweg ;C 8 ;01. Jan 77;Stadtteil Wixhausen,benannt nach Philipp Friedrich Silcher (1789-1860),schwäbischer Komponist u. Musikerzieher. 
Smaragdweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Smetanaweg ;C 8 ;01. Jan 77;Benannt nach Friedrich Smetana (1824-1884), tschechischer Komponist. 
Soderstraße ;J 8-9 ;Benennung 1859 ;Benannt nach dem Soderbach. 
Sophienstraße ;P 7 ;Benennung 1930 ;Stadtteil Eberstadt, benannt nach der ersten Anwohnerin. 
Speierlingweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer Apfelsorte der Streuobstwiesen 
Sperberweg;C 8 ;01. Jan 77;Benannt nach dem Raubvogel Sperber. 
Spessartring;H-J 9 ;Benennung 1907 ;Benannt nach dem Mittelgebirge Spessart östl. von Darmstadt 
Spirwesweg;J 8 ;24. Jun 87;Benannt nach einer Darmstädter Originalgestalt in Niebergalls Mundartstück 'Datterich'. 
Spitzwegpfad ;E 8 ;01. Feb 78;Stadtteil Arheilgen, benannt nach Karl Spitzweg (18081885), bayrischer Biedermeiermaler. 
;;;
Spreestraße;J-K 6-7 ;02. Jul 52;Benannt nach der Spree, dem größten Nebenfluß der Havel. 
Stadtkirchplatz;J 8 ;29. Mai 96;Benannt nach der dort stehenden Kirche. 
Stadtweg ;E-F 8 ;29. Okt 59;Stadtteil Arheilgen, so benannt, da früher hier die Chaussee direkt nach Darmstadt führte. 
Staudingerstraße;H 5 ;06. Jan 65;Benannt nach Franz Staudinger (18491921),Darmstädter Neuphilologe, Wegbereiter der Konsumgenossenschaften. 
Stauffenbergstraße ;K 7 ;04. Dez 68;Benannt nach Oberst Claus Schenk Graf von Stauffenberg (1907-1944), Widerstandskämpfer, Opfer des 20. Juli 1944 
St. Barbara-Siedlung ;N-O 7 ;01. Feb 57;
Steckenbornweg ;N-O 7-8 ;;Stadtteil Eberstadt, benannt nach einem Flurname, der auf einen Brunnen bei ins Wasser gerammten Pfählen Bezug nimmt. 
Stefan-George-Weg;L 8 ;22. Mrz 57;Benannt nach Stefan George (1868-1933), Dichter, besuchte das Ludwig-Georgs-Gymnasium in Darmstadt. 
Steigertsweg ;P 7-8 ;29. Okt 59;Stadtteil Eberstadt, benannt nach dem Flurnamen 'Der Steiger', für ein ansteigendes, unbewaldetes Kulturland. 
Steinackerstraße;K 8 ;;Benannt nach einer Gewannbezeichnung für Äcker, die früher einer Familie Stein gehörten. 
Steinbergweg;L 8-9 ;;Gewannbezeichnung, nach den Hügeln im Bessunger Feld genannt. 
Steineckeweg ;G 10 ;29. Okt 75;Stadtteil Kranichstein,benannt nach Dr. Wolfgang Steinecke (1910-1961), Begründer der Intern. Ferienkurse (Kranichsteiner Ferienkurse für Neue Musik) und des Internationalen Musikinstituts 
Steinerweg ;Q 7 ;22. Dez 82;Stadtteil Eberstadt, benannt nach Rudolf Steiner (18611925), Begründer der anthroposophischen Geisteswissenschaft (Waldorfschule) 
Steinkauzweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer dort ansässigen Vogelart 
Steinstraße ;E 9 ;;Stadtteil Arheilgen, Ihre Bodenbeschaffenheit gab der Straße den Namen 
Stephanstraße;K 7 ;15. Mrz 51;Benannt nach Heinrich von Stephan (1831-1897), Generalpostmeister,Gründer des Weltpostvereins. 
Steubenplatz;J 7 ;;Benannt nach Friedrich Wilhelm Rudolf Gerhard Augustin von Steuben (1730-1794), amerik. General, der Organisator des amerik. Heeres, in Magdeburg geboren 
Stieglitzweg ;P 7 ;24. Apr 02;Stadtteil Eberstadt, benannt nach einer dort ansässige Vogelart 
Stifterstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Adalbert Stifter (18051868), österreichischer Dichter 
Stiftstraße;J 8 ;;Nach dem an die Straße grenzenden Diakonissen-Mutterhaus d. Elisabethenstifts benannt. 
Stockhausenweg ;Q-R 6-7 ;;Stadtteil Eberstadt,benannt nach Dr. Georg Konrad Stockhausen (1749-1803), Geheimrat, Asessor in Darmstadt. 
Stormstraße ;F-8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Theodor Storm (18171888), Dichter 
Strahringerplatz ;G 9 ;20. Jun 01;Benannt nach Prof. Dr. Wilhelm Strahringer,(1898-1982), Vorstandsmitglied der Heag, Träger des großen Verdienstkreuzes der Bundesrepublik 
Straubplatz;L-M 6 ;23. Nov 83;Benannt nach Hans Straub (1899-1962), Vorsitzender des Siedlerbundes der Heimstättensiedlung. 
Streckerweg ;Q 8 ;28. Jan 81;Stadtteil Eberstadt, benannt nach Johann Ludwig Strecker (1721-1799), Darmstädter Hofmaler. 
Stresemannstraße ;R 7 ;06. Jan 65;Stadtteil Eberstadt,benannt nach Gustav Stresemann (1878-1929), Vorkämpfer für ein geeintes Europa, Reichskanzler, Friedensnobelpreisträger. 
Strohweg ;Q 7-8 ;;Stadtteil Eberstadt, benannt wahrscheinlich nach einem ehem. Anwohner. 
Stühlingerweg ;E 8 ;10. Nov 04;Benannt nach dem Arheilger Pfarrer Wilhelm Stühlinger, (1906-1990), Träger des Bundesverdienstkreuzes und der Silbernen Verdienstplakette der Stadt Darmstadt. 
Sturzstraße;L 7 ;2. Juli 1953 26. Juni 1953 ;Benannt nach Peter Helfrich Sturz (1736-1779), Diplomat u. Schriftsteller 
Täubcheshöhlenweg;G 6-8 ;15. Jan 60;Benannt nach einer Gewannbezeichnung. 
Tannenstraße ;P 7 ;;Stadtteil Eberstadt, benannt nach dem Baum 'Tanne'. 
Taunusplatz;H 8 ;12. Dez 73;Benennung nach dem Gebirge 40 km nördl. von Darmstadt 
Taunusstraße;H-J 8-9 ;Benennung 1873 ;Benannt nach dem Gebirge. 
Teichhausstraße;J-K 8 ;;Benannt nach dem Haus an den Fischteichen, die dort außerhalb der Stadtmauer lagen. 
Telemannweg;H 9-10 ;26. Aug 70;Benannt nach Georg Philipp Telemann (1681-1767), Komponist 
Theodor-Heuss-Straße;K 9 ;02. Jan 64;Benannt nach Professor Dr. Theodor Heuss (1884-1963), erster Bundespräsident 1949-1957, Ehrenbürger der Stadt Darmstadt. 
Theodor-Reh-Straße ;F 10 ;22. Dez 82;Stadtteil Kranichstein, benannt nach Theodor Reh (18011868), Demokratischer Abgeordneter, Präsident der Nationalversammlung 1849. 
Thießweg ;J 9 ;28. Jan 81;Park Rosenhöhe, benannt nach Dr. phil. Frank Thieß (1890-1977), baltendeutscher Schriftsteller, lebte ab 1952 in Darmstadt. 
Thomas-Mann-Platz ;F 8 ;30. Jan 63;Stadtteil Arheilgen,benannt nach Thomas Mann (18751955), Schriftsteller, Nobelpreisträger. 
Thomasstraße ;P 7 ;26. Jun 53;Stadtteil Eberstadt, benannt nach Thomas Kirschner (1864-1942),Förster in Eberstadt. 
Thüringerstraße ;P 6-7 ;11. Oktober 1961 7. März 1962 ;Stadtteil Eberstadt, benannt nach der mitteldeutschen Landsmannschaft. 
Thylmannweg;K 6 ;Benennung 1926 ;Benannt nach Karl Thylmann (1888-1916), Dichter und Graphiker. 
Tieckstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Ludwig Tieck (17731853), romantischer Dichter, Kritiker u. Übersetzer 
T-Online-Allee ;K 6 ;10. Nov 04;Benannt nach der T-Online International AG 
Topasweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Traisaer Straße;L 9 ;29. Okt 59;Benannt nach 'Traisa' einem Ortsteil der Gemeinde Mühltal 
Traubenweg;J 5-6 ;;Benannt nach den Weingärten die sich früher dort befanden. 
Trierer Straße;J 5 ;22. Jun 66;Benannt nach der Stadt an der Mosel. 
Trinkbornstraße ;C 7 ;01. Jan 77;Benannt nach einer Quelle, die sich früher in dieser Straße befand. 
Trinkbrunnenpfad ;E 9 ;;Stadtteil Arheilgen, benannt nach den ehemaligen Trinkbrunnen im Quellgebiet des Ruthsenbaches. 
Trondheimstraße ;Q 8 ;24. Mai 72;Stadtteil Eberstadt, benannt nach der norwegischen Schwesterstadt Darmstadts (seit 1968) 
Troyesstraße ;Q 8 ;24. Mai 72;Stadtteil Eberstadt, benannt nach der französischen Schwesterstadt Darmstadts (seit 1958) 
Türkisweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Tulpenweg;E 7 ;11. Nov 92;Stadtteil Arheilgen, benannt nach der Blume. 
Uhlandstraße ;Q 6 ;Benennung 1919 ;Stadtteil Eberstadt,benannt nach Ludwig Uhland (17871862), dt. Dichter und Germanist. 
Ulvenbergstraße ;Q 7 ;;Stadtteil Eberstadt, benannt nach der Sanddüne Ulvenberg, die größte u. pflanzenreichste Eberstädter Düne. 
Unter den Golläckern;L-M 6 ;;Gewannbezeichnung, benannt nach einer Familie 'Goll' 
Untere Mühlstraße ;E 8 ;26. Jun 53;Stadtteil Arheilgen, benannt nach der 'Leibches Mühle', zu der sie führt. 
Untergasse ;B 7 ;01. Jan 77;Die Benennung ist nicht eideutig geklärt. 
Uhlandstraße ;Q 6 ;Benennung 1919 ;Stadtteil Eberstadt,benannt nach Ludwig Uhland (17871862), dt. Dichter und Germanist. 
Ulvenbergstraße ;Q 7 ;;Stadtteil Eberstadt, benannt nach der Sanddüne Ulvenberg, die größte u. pflanzenreichste Eberstädter Düne. 
Unter den Golläckern;L-M 6 ;;Gewannbezeichnung, benannt nach einer Familie 'Goll' 
Untere Mühlstraße ;E 8 ;26. Jun 53;Stadtteil Arheilgen, benannt nach der 'Leibches Mühle', zu der sie führt. 
Untergasse ;B 7 ;01. Jan 77;Die Benennung ist nicht eideutig geklärt. 
Veilchenweg;E 7 ;11. Nov 92;Stadtteil Arheilgen, benannt nach der Pflanze. 
Verdistraße ;C 7-8 ;01. Jan 77;Benannt nach Giuseppe Fortunino Francesco Verdi (1813-1901), italienischer Opernkomponist. 
Viktoriaplatz;H 7 ;Benennung 1892 ;Benannt nach Viktoria, Prinzessin von Hessen, (18631950), 1884 vermählt mit Prinz Ludwig von Battenberg. 
Viktoriastraße;H-J 7 ;Benennung 1872 ;Benannt nach Viktoria, Prinzessin von Hessen, (18631950), 1884 vermählt mit Prinz Ludwig von Battenberg. 
Vilbeler Weg;H 8 ;21. Jul 76;Benannt nach der hessischen Stadt Bad Vilbel an der Nidda. 
Virchowstraße ;E-F 7-8 ;01. Feb 78;Stadtteil Arheilgen, benannt nach Rudolf Virchow (18211902), Mediziner u. Politiker 
Vogelsbergstraße ;H 8-9 ;11. Okt 61;Benannt nach dem hessischen Mittelgebirge Vogelsberg. 
Voglerweg;H 9 ;Benennung 1918 ;Benannt nach Abt Georg Joseph Vogler (1749-1814), Komponist und Orgelvirtuose, lebte 1779-1790 in Darmstadt. 
Von-der-Au-Straße ;P 6 ;29. Okt 59;Stadtteil Eberstadt, benannt nach Dr. Hans Ludwig von der Au (1892-1955), in Darmstadt geborener bedeutender Volkskundler, Pfarrer u. Studienrat. 
